timestamp,total_duration,time_between_movements,hover_time,position_x,position_y,velocity,acceleration,jerk,path_length,click_events,scroll_events,average_velocity,peak_velocity,average_acceleration,peak_acceleration,average_momentum,peak_momentum,smoothness,deviation_from_ideal_path,idle_time,fitts_index_of_difficulty,fitts_movement_time
1755143543.6298,0.454213,0.011285,0.030791,289.59765625,136.51171875,196.04832949271864,-5058.337840929254,17855.18087877588,236.03315046420968,None,None,806.6494607151319,1645.8485870454874,4593.686091775063,21402.21915366315,806.6494607151319,1645.8485870454874,0.000003269239641508197,1.0190504578250619,-0.00000000000000011102230246251565,1.729533935995204,0.454213
1755143543.6620,0.486477,0.032264,0.063055,289.59765625,136.51171875,137.23383064490304,-4087.7107030797074,30083.905834662353,236.03315046420968,None,None,774.772525949883,1645.8485870454874,4159.616252032325,21402.21915366315,774.772525949883,1645.8485870454874,0.0000034321111067572373,1.0190504578250619,-0.00000000000000011102230246251565,1.729533935995204,0.486477
1755143543.6621,0.486499,0.000022,0.063077,289.59765625,136.51171875,96.06368145143212,-5949.158681666114,-465361.9946466016,236.03315046420968,Left,None,743.9221239272262,1645.8485870454874,3678.2460170943036,21402.21915366315,743.9221239272262,1645.8485870454874,0.000003332603875669149,1.0190504578250619,-0.00000000000000011102230246251565,1.729533935995204,0.486499
1755143543.7435,0,0,0,289.59765625,136.51171875,0,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0
1755143544.0208,0.277253,0.277253,0.277253,289.10546875,136.51171875,1.7752287621775056,0,0,0.4921875,None,None,1.7752287621775056,1.7752287621775056,0,0,1.7752287621775056,1.7752287621775056,0,1,0,0.007083347243857498,0.277253
1755143544.0279,0.284409,0.007156,0,285.8515625,136.51171875,137.6557225985885,5696.499182633216,796045.162469706,3.74609375,None,None,69.71547568038301,137.6557225985885,5696.499182633216,5696.499182633216,69.71547568038301,137.6557225985885,0,1,0,0.05305701709959468,0.284409
1755143544.0365,0.292951,0.008542,0,277.1015625,136.51171875,403.6640865963475,13329.917631932187,893633.6278739137,12.49609375,None,None,181.03167931903783,403.6640865963475,9513.208407282702,13329.917631932187,181.03167931903783,403.6640865963475,0.0000011190268235307432,1,0,0.16987490699480345,0.292951
1755143544.0485,0.304993,0.012042,0,260.17578125,136.51171875,704.2335514495309,16818.970863856848,289740.3447869674,29.421875,None,None,311.8321473516611,704.2335514495309,11948.462559474085,16818.970863856848,311.8321473516611,704.2335514495309,0.0000016900828023983753,1,0,0.3720814835345007,0.304993
1755143544.0658,0.322295,0.017302,0,228.74609375,126.796875,1063.3633367214024,18000.243862101335,68273.78327618119,62.31873572309287,None,None,462.13838522560934,1063.3633367214024,13461.407885130897,18000.243862101335,462.13838522560934,1063.3633367214024,0.000002396840473503675,1.0113039483695094,0,0.6926250371646085,0.322295
1755143544.0825,0.338958,0.016663,0,188.23828125,112.0625,1520.4033020126003,20828.700355235884,169744.73342942738,105.4230821417057,None,None,638.5158713567745,1520.4033020126003,14934.866379151896,20828.700355235884,638.5158713567745,1520.4033020126003,0.0000028141417869618746,1.0110932933186392,0,1.030452083451254,0.338958
1755143544.0983,0.354776,0.015818,0,147.73046875,97.328125,1881.787933205751,21434.01548307814,38267.48816805258,148.52742856031853,None,None,816.1261659066283,1881.787933205751,16018.057896472936,21434.01548307814,816.1261659066283,1881.787933205751,0.0000034254552957225807,1.0091619467241928,0,1.3055560772188617,0.354776
1755143544.1154,0.371844,0.017068,0,127.20703125,90.484375,1697.5144948230904,11764.882345372991,-566506.5114662028,170.16185484989012,None,None,926.2997070211861,1881.787933205751,15410.461389172942,21434.01548307814,926.2997070211861,1881.787933205751,0.0000029612571486951454,1.008142315576623,0.00000000000000005551115123125783,1.4264662266814359,0.371844
1755143544.1321,0.388553,0.016709,0,107.28125,83.79296875,1565.6492792169427,5867.857363956057,-352925.06920922454,191.1811715853454,None,None,997.3385483762702,1881.787933205751,14217.635886020833,21434.01548307814,997.3385483762702,1881.787933205751,0.0000029422995411184615,1.0073539060690235,0.00000000000000005551115123125783,1.5349854423838578,0.388553
1755143544.1491,0.40559,0.017037,0,95.86328125,79.6640625,1309.752283592004,-398.52195519622273,-367810.02049376536,203.3227479738242,None,None,1028.5799218978436,1881.787933205751,12593.618348107826,21434.01548307814,1028.5799218978436,1881.787933205751,0.0000029123722750107435,1.0070337753058098,0.00000000000000005551115123125783,1.5940832310622561,0.40559
1755143544.1667,0.423124,0.017534,0,86.27734375,77.7421875,1084.1021234705809,-4139.752869289057,-213370.0760860519,213.09944482242963,None,None,1033.6273947680925,1881.787933205751,10920.281226368137,21434.01548307814,1033.6273947680925,1881.787933205751,0.0000030402615197283655,1.0068788256943157,0.00000000000000005551115123125783,1.639897018286677,0.423124
1755143544.1826,0.439081,0.015957,0,79.76953125,76.109375,885.0140526534574,-6640.787542759221,-156735.89480918492,219.8089679198869,None,None,1021.2429495918728,1881.787933205751,9323.82042917474,21434.01548307814,1021.2429495918728,1881.787933205751,0.000003208205254840201,1.006686402827605,0.00000000000000005551115123125783,1.6706092258930902,0.439081
1755143544.2030,0.459513,0.020432,0,72.5,73.94921875,730.8600282642409,-6911.971763328329,-13272.524499271154,227.39265828930075,None,None,998.9058017974396,1881.787933205751,7970.837746466153,21434.01548307814,998.9058017974396,1881.787933205751,0.0000035140625565809258,1.0064631605911563,0.00000000000000005551115123125783,1.7045728652993484,0.459513
1755143544.2189,0.475401,0.015888,0,70.3984375,72.375,561.1824902323131,-8042.26123946442,-71141.07981722629,230.01844000419212,None,None,967.6398509713591,1881.787933205751,6739.06090139457,21434.01548307814,967.6398509713591,1881.787933205751,0.0000037483353245553178,1.0071317827139739,0.00000000000000005551115123125783,1.7154085035650248,0.475401
1755143544.2317,0.488151,0.01275,0,68.390625,71.03515625,449.62333882777034,-8254.504077143745,-16646.497072888236,232.43225281996104,None,None,933.1054168284533,1881.787933205751,5668.091974356118,21434.01548307814,933.1054168284533,1881.787933205751,0.000004039691333402311,1.007534797461361,0.00000000000000005551115123125783,1.7254969576976473,0.488151
1755143544.2500,0.506419,0.018268,0,66.953125,69.59765625,348.12146958437665,-7445.032686112407,44310.892874498495,234.46518481587236,None,None,896.5439201256985,1881.787933205751,4793.883663658216,21434.01548307814,896.5439201256985,1881.787933205751,0.0000042913474974682565,1.0085286334328771,0,1.7332780923304112,0.506419
1755143544.2657,0.522176,0.015757,0,66.42578125,68.54296875,266.1355549356865,-6772.465597458797,42683.70176135114,235.64436128838202,None,None,859.4610751145213,1881.787933205751,4070.9868348384034,21434.01548307814,859.4610751145213,1881.787933205751,0.000004538492435311772,1.010080740908446,0,1.7367892819109596,0.522176
1755143544.2825,0.538968,0.016792,0.016792,66.04296875,68.16015625,195.96696973200443,-5994.333324194515,46339.4636293641,236.18573991772797,None,None,822.6002914821593,1881.787933205751,3478.9091784247025,21434.01548307814,822.6002914821593,1881.787933205751,0.000004774121811725025,1.0103317845252833,0,1.7388563356112068,0.538968
1755143544.2987,0.555177,0.016209,0,65.515625,67.10546875,159.00135544593363,-4880.201646130511,68735.37405540154,237.36491639023762,None,None,787.674031690779,1881.787933205751,3014.514132616079,21434.01548307814,787.674031690779,1881.787933205751,0.00000497056099972243,1.0118516269997206,0,1.742371500527002,0.555177
1755143544.2987,0.555196,0.000019,0.000019,65.1328125,66.33984375,175.5005567599014,-2178.7010537437745,675375.1480966841,238.22091116287427,None,None,757.0653579442351,1881.787933205751,2741.1870175445083,21434.01548307814,757.0653579442351,1881.787933205751,0.000004395054631254774,1.0129399807788193,0,1.7449262360583944,0.555196
